alpha,bertscore_precision,bertscore_recall,bertscore_f1
0.0,86.84168457984924,86.03098392486572,86.42643690109253
0.1,86.93429827690125,86.07291579246521,86.49381995201111
0.2,86.91586256027222,86.04782223701477,86.4723801612854
0.3,86.84766888618469,85.98384857177734,86.40635013580322
0.4,86.86237931251526,85.9975278377533,86.41989827156067
0.5,86.85653805732727,86.00878715515137,86.4236056804657
0.6,86.83329820632935,85.99231839179993,86.40377521514893
0.7,86.78566813468933,85.94945669174194,86.35839223861694
0.8,86.80940866470337,85.95609068870544,86.37353777885437
0.9,86.94368004798889,86.06365919113159,86.49427890777588
1.0,86.96311712265015,86.11195087432861,86.52788400650024
